id,Nome,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
54,Andréia Rebeca da Silva,Fem,40,branco,Pós graduação,Rio Grande do Sul,4.0,Contabilidade,Analista Pleno,36.0
55,Wendy Genir de Ortiz Pinto da Silva,Fem,37,branco,Doutorado,Rio de Janeiro,4.0,Administrativo,Analista Júnior,33.0
56,Arnaldo de Lemos,Masc,30,branco,Mestrado,Rondônia,5.0,TI,Estagiário,25.0
57,Inácio dos Santos Iprijofez de Oliveira Neto,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Compras,Analista Pleno,25.0
58,Flávio Lúcio Schneider,Masc,24,pardo,Ensino Superior,Paraná,8.0,Compras,Analista Sênior,16.0
59,Zeca Antônio da Nóbrega Weber Ezze,Masc,37,pardo,Ensino Superior,Paraná,7.0,Recursos Humanos,Analista Sênior,30.0
60,Diogo Sérgio de Assis,Masc,29,branco,Pós graduação,Rio Grande do Sul,2.0,Marketing,Gerente,27.0
61,Bianca Amália Espada Adoan,Fem,30,branco,Ensino Superior,Minas Gerais,7.0,Desenvolvimento de Produtos,Analista Júnior,23.0
62,Sérgio Nilo de Arantes Bopi Júnior,Masc,30,pardo,Ensino Superior,Minas Gerais,5.0,Desenvolvimento de Produtos,Analista Sênior,25.0
64,Sebastião de Muniz Clyloier,Masc,29,pardo,Ensino Superior,Bahia,9.0,TI,Analista Júnior,20.0
65,Martinho Arnaldo da Silva Dutra,Masc,21,pardo,Mestrado,Espírito Santo,6.0,TI,Analista Júnior,15.0
66,Antônio de Souza Uji Júnior,Masc,27,pardo,Pós graduação,São Paulo,5.0,Operações,Analista Júnior,22.0
67,Hélio Ademar Gryamman Júnior,Masc,31,pardo,Ensino Superior,Rio Grande do Sul,5.0,Vendas,Analista Júnior,26.0
68,Mikaella Berenice de Lisboa,Fem,22,pardo,Pós graduação,Roraima,8.0,Marketing,Analista Pleno,14.0
69,Eric de Freitas,Masc,29,pardo,Ensino Superior,Maranhão,4.0,Vendas,Analista Júnior,25.0
70,Edson Nicolau Marques,Masc,32,pardo,Doutorado,Paraíba,9.0,Vendas,Analista Pleno,23.0
71,Kevin Toztin de Sobral,Masc,24,pardo,Ensino Superior,Maranhão,3.0,Recursos Humanos,Analista Júnior,21.0
72,Olga de Drummond,Fem,42,branco,Ensino Superior,Goiás,2.0,Operações,Gerente,40.0
73,Diogo de São Pedro Pultonão Negrão,Masc,41,branco,Ensino Superior,Pará,3.0,Vendas,Analista Júnior,38.0
74,Nilo Patrick de Mendonça,Masc,18,branco,Ensino Superior,Amazonas,1.0,Operações,Analista Sênior,17.0
75,Rogério Nelson Vigrylaz,Masc,39,pardo,Ensino Superior,Goiás,8.0,Compras,Analista Júnior,31.0
76,Reinaldo Osório da Luz Milani de Magalhães,Masc,36,pardo,Doutorado,Rondônia,8.0,Recursos Humanos,Gerente,28.0
77,Júlio Edivaldo de Alencar,Masc,21,preto,Ensino Médio,Acre,7.0,Compras,Analista Júnior,14.0
78,Junior Edinaldo de Aguiar,Masc,24,pardo,Ensino Médio,Roraima,9.0,Desenvolvimento de Produtos,Analista Júnior,15.0
79,Kim Roberval de Lisboa,Masc,42,pardo,Ensino Superior,Minas Gerais,7.0,TI,Analista Pleno,35.0
80,Altair de Sá dos Santos Júnior,Masc,36,pardo,Mestrado,Distrito Federal,9.0,Vendas,Analista Pleno,27.0
81,Eduardo Mohoite dos Santos,Masc,30,pardo,Ensino Superior,Piauí,5.0,Recursos Humanos,Analista Júnior,25.0
82,Isabela de Borges,Fem,28,branco,Ensino Superior,Amapá,5.0,Contabilidade,Analista Júnior,23.0
83,Jean Eugarnson Gomes,Masc,25,branco,Ensino Superior,São Paulo,5.0,Administrativo,Analista Sênior,20.0
84,Edu de Drummond,Masc,21,pardo,Ensino Médio,Paraná,3.0,Operações,Analista Pleno,18.0
85,Liane da Gama de Amorim,Fem,22,pardo,Ensino Superior,Mato Grosso do Sul,4.0,Marketing,Analista Júnior,18.0
86,Everton Paim Piwa,Masc,36,branco,Mestrado,Tocantins,6.0,Desenvolvimento de Produtos,Analista Júnior,30.0
87,Graziele Albina Rosatto,Fem,47,pardo,Ensino Superior,Piauí,0.0,TI,Analista Sênior,47.0
88,Jean Cauê de Macedo,Masc,41,preto,Ensino Superior,Amazonas,8.0,Desenvolvimento de Produtos,Estagiário,33.0
89,Wanda de Malta,Fem,34,pardo,Ensino Superior,Paraíba,6.0,Desenvolvimento de Produtos,Gerente,28.0
90,Márcia de Barbosa Yazeze,Fem,39,pardo,Mestrado,São Paulo,3.0,Administrativo,Analista Júnior,36.0
91,Ariana Quésia Buarque de Sales Noshiguke,Fem,31,pardo,Ensino Superior,Rio Grande do Sul,,Compras,Gerente,
92,Elói Joel Nugi Odrean,Masc,29,preto,Ensino Superior,Ceará,3.0,TI,Analista Sênior,26.0
93,Patrick de Machado Iloltri Cavalcante Terceiro,Masc,38,branco,Ensino Médio,Piauí,3.0,Operações,Analista Sênior,35.0
94,Melanie Evelyn Fifenman,Fem,37,pardo,Ensino Superior,Bahia,5.0,Contabilidade,Analista Júnior,32.0
95,Magali Zara Lopes,Fem,31,branco,Mestrado,Rondônia,2.0,Compras,Analista Pleno,29.0
96,Rafael dos Santos,Masc,32,pardo,Doutorado,Piauí,4.0,Marketing,Gerente,28.0
97,Kim de Moreira,Masc,27,pardo,Doutorado,Rio Grande do Sul,5.0,Vendas,Estagiário,22.0
98,Everaldo Denis Uzbenseã Júnior,Masc,30,pardo,Doutorado,São Paulo,5.0,Administrativo,Analista Sênior,25.0
99,Yuri Marco de Tavares Woibi,Masc,33,branco,Ensino Superior,Rio de Janeiro,14.0,Recursos Humanos,Gerente,19.0
100,Eliane Márcia da Graça Esery de Moreira,Fem,21,pardo,Ensino Médio,Rio Grande do Sul,6.0,Vendas,Estagiário,15.0
101,Tânia Ivone Gomes,Fem,32,pardo,Ensino Superior,Bahia,6.0,Compras,Analista Sênior,26.0
102,Elias de Azevedo Erna Enun,Masc,41,pardo,Ensino Superior,Tocantins,6.0,Operações,Gerente,35.0
103,Marlene Kátia Komo,Fem,18,branco,Ensino Superior,Rondônia,4.0,TI,Analista Pleno,14.0
104,João da Encarnação do Nascimento de Alvim,Masc,53,branco,Ensino Superior,Distrito Federal,7.0,TI,Analista Sênior,46.0
105,Roberval Valverde Irnpibissiman,Masc,28,branco,Ensino Superior,Bahia,12.0,TI,Gerente,16.0
107,Hércules de Castro Preto,Masc,34,pardo,Pós graduação,Pará,4.0,Vendas,Estagiário,30.0
108,Leandro de Souza,Masc,37,pardo,Mestrado,Rio Grande do Sul,6.0,Contabilidade,Analista Júnior,31.0
109,Roberto Fortes de Oliveira Mercado,Masc,32,pardo,Pós graduação,Acre,7.0,Contabilidade,Analista Sênior,25.0
110,Décio Aldo Tabeiov,Masc,34,pardo,Ensino Superior,Santa Catarina,7.0,Operações,Analista Júnior,27.0
111,Eric Moisés de Moura,Masc,26,pardo,Doutorado,Pernambuco,5.0,Operações,Analista Pleno,21.0
112,Fabrício Jânio Arnfa,Masc,30,branco,Ensino Superior,Paraíba,5.0,Marketing,Analista Pleno,25.0
113,Gigi Yeda de Pascoal Hetewa dos Santos,Fem,27,pardo,Ensino Superior,Mato Grosso do Sul,6.0,Contabilidade,Gerente,21.0
114,Dário Bernardo da Silva Valente Neto,Masc,32,pardo,Ensino Superior,Bahia,9.0,TI,Gerente,23.0
115,Heitor Oglo Etti,Masc,34,branco,Pós graduação,Paraná,6.0,Compras,Analista Pleno,28.0
116,Thaís da Silva,Fem,38,pardo,Ensino Superior,Mato Grosso,2.0,Contabilidade,Analista Júnior,36.0
117,Juliano Coarnzytas,Masc,21,pardo,Ensino Médio,Piauí,4.0,Vendas,Analista Júnior,17.0
118,Camilo Bruno de Magalhães,Masc,38,pardo,Mestrado,Amazonas,13.0,Operações,Analista Júnior,25.0
120,Rafael Gifusogi,Masc,20,branco,Ensino Superior,Rio Grande do Sul,5.0,Operações,Analista Júnior,15.0
121,Valquíria de Santo Antônio Rosa Dara Terceiro,Fem,37,pardo,Ensino Superior,Bahia,10.0,TI,Analista Pleno,27.0
122,Edinaldo Jason de Arruda,Masc,19,branco,Doutorado,Mato Grosso,5.0,Compras,Analista Pleno,14.0
123,Beto Matheus de Cerqueira,Masc,20,branco,Ensino Superior,Santa Catarina,6.0,Compras,Gerente,14.0
124,Edson Gilmar de Fraga,Masc,33,branco,Ensino Superior,Maranhão,3.0,TI,Gerente,30.0
125,Maurício Wagner de Pereira Terceiro,Masc,42,branco,Ensino Superior,Rondônia,8.0,Desenvolvimento de Produtos,Analista Júnior,34.0
126,Elias Aécio Thiel de Garcia Borowahe,Masc,24,branco,Ensino Superior,Santa Catarina,3.0,Marketing,Analista Pleno,21.0
127,Jeniffer de Figueiredo,Fem,36,branco,Ensino Superior,Tocantins,6.0,Compras,Estagiário,30.0
128,Mike Marlon de Souza,Masc,38,branco,Ensino Superior,Rio Grande do Norte,12.0,Compras,Analista Júnior,26.0
129,Eugênio Ushoso dos Santos de Alencar,Masc,30,branco,Ensino Superior,Mato Grosso,2.0,Operações,Estagiário,28.0
130,Vera Arilda de Oliveira,Fem,20,pardo,Pós graduação,Rio de Janeiro,6.0,Contabilidade,Analista Sênior,14.0
131,Eva Ploa,Fem,19,branco,Ensino Superior,Goiás,5.0,Administrativo,Analista Sênior,14.0
132,Paulo Jacinto Dafayson,Masc,28,indígena,Ensino Superior,Rio Grande do Sul,4.0,Administrativo,Analista Pleno,24.0
133,Samuel Josiel Mendes,Masc,36,branco,Pós graduação,Amapá,0.0,Marketing,Analista Júnior,36.0
134,Kevin da Paz Bekipe,Masc,49,branco,Mestrado,Rio Grande do Sul,2.0,Operações,Analista Sênior,47.0
135,Diego de Linhares Tristão Júnior,Masc,28,pardo,Mestrado,Rio Grande do Sul,3.0,TI,Analista Júnior,25.0
136,Alexandre Celso de Santana Edrynman Júnior,Masc,40,branco,Ensino Superior,Goiás,3.0,Administrativo,Analista Sênior,37.0
137,Maurício da Lira,Masc,22,pardo,Ensino Superior,Santa Catarina,6.0,Recursos Humanos,Estagiário,16.0
138,Cecília Lena Buarque de Chaves,Fem,30,pardo,Ensino Superior,Minas Gerais,5.0,Marketing,Analista Pleno,25.0
139,Ademar Ayrton de Silveira Bedio,Masc,22,pardo,Pós graduação,Minas Gerais,7.0,Administrativo,Analista Pleno,15.0
140,Sílvio de Machado,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Desenvolvimento de Produtos,Gerente,25.0
141,Kátia Memo,Fem,37,preto,Ensino Superior,Minas Gerais,4.0,Contabilidade,Analista Sênior,33.0
142,Valdirene Cibau,Fem,35,branco,Ensino Superior,Mato Grosso do Sul,1.0,Contabilidade,Analista Pleno,34.0
143,Rodolfo Ricardo de Gusmão,Masc,32,branco,Ensino Superior,Rio de Janeiro,8.0,Marketing,Analista Pleno,24.0
144,Tiago de Gonçalves,Masc,32,pardo,Ensino Médio,Minas Gerais,1.0,Operações,Analista Sênior,31.0
145,Tânia Liane Ukeuson de Linhares Jangada,Fem,30,pardo,Ensino Superior,Ceará,5.0,Contabilidade,Analista Sênior,25.0
146,Renato Leonardo Rosatto de Angola,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Operações,Gerente,25.0
147,Edu José de Brandão,Masc,26,pardo,Ensino Superior,Pernambuco,9.0,Desenvolvimento de Produtos,Analista Sênior,17.0
148,Ali Neta,Masc,39,pardo,Ensino Superior,Minas Gerais,6.0,Vendas,Analista Júnior,33.0
149,Reginaldo de Jesus,Masc,56,branco,Pós graduação,Amapá,6.0,Vendas,Analista Pleno,50.0
150,Natália Castelo Wazepo,Fem,22,branco,Mestrado,Roraima,5.0,Recursos Humanos,Analista Júnior,17.0
151,Jacinto do Prado Degirozo,Masc,31,branco,Mestrado,Minas Gerais,5.0,Desenvolvimento de Produtos,Estagiário,26.0
152,Eduardo Nicolau Tsuhiyohe de Viana da Silva,Masc,28,branco,Mestrado,Rio de Janeiro,7.0,Contabilidade,Gerente,21.0
153,Janaína Leila Yuma,Fem,35,pardo,Mestrado,Goiás,7.0,Marketing,Analista Júnior,28.0
154,Ezequiel Rosatto de Nogueira Júnior,Masc,40,branco,Ensino Superior,São Paulo,3.0,TI,Analista Sênior,37.0
155,Paulo Sérgio Chosepoião,Masc,41,branco,Ensino Superior,Mato Grosso do Sul,0.0,Administrativo,Estagiário,41.0
156,Micael Tlatromoz,Masc,35,branco,Pós graduação,Rio de Janeiro,11.0,Marketing,Analista Júnior,24.0
157,Jonathan Gomes Giyosu,Masc,32,preto,Pós graduação,Paraíba,10.0,TI,Gerente,22.0
158,Roberval Udroman Ymbaison Júnior,Masc,24,pardo,Ensino Superior,Minas Gerais,8.0,Recursos Humanos,Analista Júnior,16.0
159,Gustavo Vitor Pika,Masc,19,branco,Ensino Superior,Distrito Federal,5.0,Administrativo,Analista Sênior,14.0
160,Jackson Josiel Runeri Ueol Vavina,Masc,30,pardo,Ensino Superior,Rio Grande do Sul,5.0,TI,Analista Júnior,25.0
161,João Rosatto do Amaral,Masc,19,pardo,Ensino Superior,Pará,,Operações,Estagiário,
162,Hilda Chitsudebi,Fem,30,pardo,Ensino Superior,Paraíba,5.0,Desenvolvimento de Produtos,Gerente,25.0
163,Osvaldo da Silva,Masc,20,branco,Mestrado,Rio Grande do Sul,1.0,Compras,Analista Sênior,19.0
164,Caio da Paraíba,Masc,37,pardo,Pós graduação,Rio de Janeiro,2.0,TI,Gerente,35.0
165,Fabrício Jardel da Silva Tonfrigummoman Estrada,Masc,28,preto,Ensino Superior,Bahia,5.0,Operações,Analista Pleno,23.0
166,Diego de Moura Yeblaleman,Masc,41,pardo,Ensino Superior,Bahia,3.0,Compras,Analista Júnior,38.0
167,Patrick de Ramos Paim Neto,Masc,31,pardo,Ensino Superior,Espírito Santo,2.0,Vendas,Analista Júnior,29.0
168,Hélio Zawoyo Hikewa,Masc,27,pardo,Ensino Superior,Bahia,11.0,Contabilidade,Analista Sênior,16.0
169,Aloísio da Silva,Masc,36,branco,Ensino Superior,Rio Grande do Norte,3.0,Recursos Humanos,Analista Júnior,33.0
170,Nilo Fontes de Noronha,Masc,30,preto,Ensino Superior,Espírito Santo,7.0,Marketing,Analista Sênior,23.0
171,Túlio Dralganson de Palhares,Masc,27,branco,Doutorado,São Paulo,6.0,Marketing,Analista Sênior,21.0
172,Marlon Xibu,Masc,30,pardo,Ensino Superior,Paraná,9.0,Recursos Humanos,Analista Júnior,21.0
173,Luara Ximenes,Fem,19,branco,Ensino Médio,Rio de Janeiro,2.0,Contabilidade,Analista Sênior,17.0
174,Paulo Alexandre da Silva,Masc,32,pardo,Ensino Superior,Sergipe,,Vendas,Analista Sênior,
175,Juan de Noronha,Masc,30,pardo,Pós graduação,Rio Grande do Norte,4.0,Compras,Analista Júnior,26.0
176,Alfredo Lopes de Godoy,Masc,21,branco,Ensino Superior,Rondônia,6.0,Contabilidade,Analista Sênior,15.0
177,Sara Schneider,Fem,24,branco,Ensino Superior,Santa Catarina,7.0,Administrativo,Analista Júnior,17.0
178,Cristiano Emseom,Masc,31,pardo,Ensino Superior,Pernambuco,9.0,Compras,Gerente,22.0
179,Janete de Teixeira das Neves,Fem,40,preto,Ensino Superior,Maranhão,9.0,TI,Gerente,31.0
180,Gilson de Viana,Masc,39,pardo,Ensino Superior,Rio de Janeiro,6.0,Administrativo,Gerente,33.0
181,André Jonathas Guerra,Masc,40,branco,Ensino Superior,São Paulo,5.0,Operações,Analista Júnior,35.0
182,Pablo Camilo da Silva de Miranda Chishirume,Masc,20,branco,Ensino Superior,Distrito Federal,2.0,Desenvolvimento de Produtos,Gerente,18.0
183,Amarildo Mineiro Júnior,Masc,47,pardo,Ensino Superior,Paraná,5.0,Contabilidade,Analista Pleno,42.0
184,João de Jesus Prates,Masc,30,pardo,Mestrado,Rondônia,5.0,Marketing,Gerente,25.0
185,Vinícius Max Kawayune Gifem,Masc,35,branco,Mestrado,Rio de Janeiro,8.0,Marketing,Analista Pleno,27.0
186,Hamilton Batista de Souza,Masc,18,preto,Mestrado,Rio de Janeiro,3.0,Desenvolvimento de Produtos,Analista Sênior,15.0
187,Nathan de Sobral Frenzzi,Masc,31,pardo,Mestrado,Piauí,0.0,Desenvolvimento de Produtos,Analista Júnior,31.0
188,Patrícia Gislaine de Holanda da Cruz,Fem,26,pardo,Ensino Superior,Amazonas,9.0,TI,Analista Sênior,17.0
189,Kevin Jeferson de Souza,Masc,30,pardo,Ensino Superior,Maranhão,1.0,TI,Analista Pleno,29.0
190,Danielle da Paraíba,Fem,30,pardo,Ensino Médio,Rio de Janeiro,5.0,Compras,Analista Sênior,25.0
191,Lina de Brito da Silva,Fem,40,branco,Doutorado,São Paulo,8.0,Compras,Analista Júnior,32.0
192,Augusto Gomes,Masc,32,pardo,Ensino Superior,Roraima,2.0,Compras,Analista Sênior,30.0
193,Jenny de Godoy,Fem,42,branco,Ensino Superior,Rio de Janeiro,7.0,Vendas,Analista Sênior,35.0
194,Jorge Edinaldo de Lins,Masc,43,preto,Pós graduação,Rio de Janeiro,,Compras,Gerente,
195,Yuri Mineiro do Nascimento,Masc,30,pardo,Pós graduação,Rio Grande do Sul,3.0,Vendas,Analista Pleno,27.0
196,Luke dos Santos,Masc,31,pardo,Ensino Superior,Santa Catarina,0.0,Contabilidade,Analista Pleno,31.0
197,Inácio Useov Portugal,Masc,27,pardo,Mestrado,São Paulo,6.0,Contabilidade,Analista Júnior,21.0
198,Alisson Hildebrando Penedo dos Pinhais,Masc,30,pardo,Ensino Superior,São Paulo,5.0,Marketing,Analista Sênior,25.0
199,Willian de Paula,Masc,31,pardo,Mestrado,Tocantins,4.0,Contabilidade,Gerente,27.0
200,Isac Isaías Mapponi Júnior,Masc,34,branco,Ensino Superior,Mato Grosso,2.0,TI,Analista Júnior,32.0
201,Charlene Juliana de Abreu Putekuza,Fem,39,branco,Ensino Superior,Amazonas,7.0,Desenvolvimento de Produtos,Analista Pleno,32.0
202,Anderson Bartolomeu da Silva Júnior,Masc,32,branco,Pós graduação,Bahia,5.0,Recursos Humanos,Analista Pleno,27.0
203,Micael Olavo Astanvya Branco,Masc,36,pardo,Doutorado,Piauí,7.0,Recursos Humanos,Diretor,29.0
204,Altino Nelson da Rocha Fiacaz,Masc,27,pardo,Doutorado,Goiás,,Contabilidade,Analista Júnior,
205,Táles Estrada,Masc,44,branco,Mestrado,São Paulo,1.0,Recursos Humanos,Analista Sênior,43.0
206,Junior Marciano dos Santos,Masc,21,pardo,Ensino Superior,São Paulo,1.0,TI,Analista Júnior,20.0
207,Clotilde Mayra da Silva,Fem,39,pardo,Ensino Superior,Rio Grande do Norte,9.0,Contabilidade,Analista Sênior,30.0
208,Celina de Salvador,Fem,33,branco,Ensino Superior,Rio de Janeiro,7.0,Recursos Humanos,Analista Júnior,26.0
209,Kevin da Cruz de Fernandes,Masc,43,pardo,Ensino Superior,Minas Gerais,5.0,Marketing,Analista Pleno,38.0
210,Plínio da Silva Júnior,Masc,28,branco,Ensino Superior,Santa Catarina,5.0,TI,Analista Pleno,23.0
211,Felipe Zato Ynrrotrea,Masc,19,branco,Ensino Superior,Rio Grande do Sul,5.0,Compras,Analista Pleno,14.0
212,Paulo Azunssison,Masc,38,pardo,Ensino Superior,Goiás,5.0,Administrativo,Analista Júnior,33.0
213,Cauê Mateus Yuke de Freitas,Masc,28,branco,Ensino Superior,Acre,3.0,Operações,Analista Júnior,25.0
214,Patrick Borba,Masc,24,branco,Ensino Superior,Piauí,5.0,Marketing,Gerente,19.0
215,Cleuza de Barbosa Dawadone,Fem,26,preto,Ensino Superior,Alagoas,3.0,TI,Analista Pleno,23.0
216,Elisete Elisângela de Fonseca,Fem,30,pardo,Mestrado,Rio Grande do Norte,5.0,Compras,Analista Sênior,25.0
217,Domingos Everaldo Iniã,Masc,26,pardo,Ensino Superior,Amapá,0.0,Contabilidade,Estagiário,26.0
218,Chico Felipe de Leite,Masc,42,branco,Pós graduação,Goiás,10.0,Desenvolvimento de Produtos,Analista Pleno,32.0
219,José Prubi,Masc,29,branco,Doutorado,Ceará,3.0,Compras,Gerente,26.0
220,Verônica Ediane Yrnvisco,Fem,35,pardo,Mestrado,São Paulo,4.0,Desenvolvimento de Produtos,Analista Pleno,31.0
221,Luiz de Álvares,Masc,25,branco,Ensino Superior,Pernambuco,6.0,Marketing,Analista Júnior,19.0
222,Milton Ederson Uarndoym de Duarte Júnior,Masc,26,branco,Pós graduação,Paraná,6.0,Administrativo,Analista Pleno,20.0
223,Felipe de Alves Ymframan,Masc,33,branco,Ensino Superior,São Paulo,8.0,TI,Analista Júnior,25.0
224,Eduarda Grozirnbarnvo,Fem,24,branco,Ensino Superior,Maranhão,7.0,Recursos Humanos,Gerente,17.0
225,André Jairo de Noronha Aleam,Masc,32,pardo,Pós graduação,Rio Grande do Norte,7.0,Vendas,Analista Júnior,25.0
226,Edivaldo Raí Umizy,Masc,27,pardo,Ensino Médio,Paraná,8.0,Contabilidade,Analista Pleno,19.0
