id,Nome,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
57,Inácio dos Santos Iprijofez de Oliveira Neto,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5,Compras,Analista Pleno,25
58,Flávio Lúcio Schneider,Masc,24,pardo,Ensino Superior,Paraná,8,Compras,Analista Sênior,16
59,Zeca Antônio da Nóbrega Weber Ezze,Masc,37,pardo,Ensino Superior,Paraná,7,Recursos Humanos,Analista Sênior,30
60,Diogo Sérgio de Assis,Masc,29,branco,Pós graduação,Rio Grande do Sul,2,Marketing,Gerente,27
61,Bianca Amália Espada Adoan,Fem,30,branco,Ensino Superior,Minas Gerais,7,Desenvolvimento de Produtos,Analista Júnior,23
62,Sérgio Nilo de Arantes Bopi Júnior,Masc,30,pardo,Ensino Superior,Minas Gerais,5,Desenvolvimento de Produtos,Analista Sênior,25
64,Sebastião de Muniz Clyloier,Masc,29,pardo,Ensino Superior,Bahia,9,TI,Analista Júnior,20
65,Martinho Arnaldo da Silva Dutra,Masc,21,pardo,Mestrado,Espírito Santo,6,TI,Analista Júnior,15
66,Antônio de Souza Uji Júnior,Masc,27,pardo,Pós graduação,São Paulo,5,Operações,Analista Júnior,22
67,Hélio Ademar Gryamman Júnior,Masc,31,pardo,Ensino Superior,Rio Grande do Sul,5,Vendas,Analista Júnior,26
68,Mikaella Berenice de Lisboa,Fem,22,pardo,Pós graduação,Roraima,8,Marketing,Analista Pleno,14
69,Eric de Freitas,Masc,29,pardo,Ensino Superior,Maranhão,4,Vendas,Analista Júnior,25
70,Edson Nicolau Marques,Masc,32,pardo,Doutorado,Paraíba,9,Vendas,Analista Pleno,23
71,Kevin Toztin de Sobral,Masc,24,pardo,Ensino Superior,Maranhão,3,Recursos Humanos,Analista Júnior,21
72,Olga de Drummond,Fem,42,branco,Ensino Superior,Goiás,2,Operações,Gerente,40
73,Diogo de São Pedro Pultonão Negrão,Masc,41,branco,Ensino Superior,Pará,3,Vendas,Analista Júnior,38
74,Nilo Patrick de Mendonça,Masc,18,branco,Ensino Superior,Amazonas,1,Operações,Analista Sênior,17
75,Rogério Nelson Vigrylaz,Masc,39,pardo,Ensino Superior,Goiás,8,Compras,Analista Júnior,31
76,Reinaldo Osório da Luz Milani de Magalhães,Masc,36,pardo,Doutorado,Rondônia,8,Recursos Humanos,Gerente,28
77,Júlio Edivaldo de Alencar,Masc,21,preto,Ensino Médio,Acre,7,Compras,Analista Júnior,14
78,Junior Edinaldo de Aguiar,Masc,24,pardo,Ensino Médio,Roraima,9,Desenvolvimento de Produtos,Analista Júnior,15
79,Kim Roberval de Lisboa,Masc,42,pardo,Ensino Superior,Minas Gerais,7,TI,Analista Pleno,35
80,Altair de Sá dos Santos Júnior,Masc,36,pardo,Mestrado,Distrito Federal,9,Vendas,Analista Pleno,27
81,Eduardo Mohoite dos Santos,Masc,30,pardo,Ensino Superior,Piauí,5,Recursos Humanos,Analista Júnior,25
82,Isabela de Borges,Fem,28,branco,Ensino Superior,Amapá,5,Contabilidade,Analista Júnior,23
83,Jean Eugarnson Gomes,Masc,25,branco,Ensino Superior,São Paulo,5,Administrativo,Analista Sênior,20
84,Edu de Drummond,Masc,21,pardo,Ensino Médio,Paraná,3,Operações,Analista Pleno,18
85,Liane da Gama de Amorim,Fem,22,pardo,Ensino Superior,Mato Grosso do Sul,4,Marketing,Analista Júnior,18
86,Everton Paim Piwa,Masc,36,branco,Mestrado,Tocantins,6,Desenvolvimento de Produtos,Analista Júnior,30
87,Graziele Albina Rosatto,Fem,47,pardo,Ensino Superior,Piauí,0,TI,Analista Sênior,47
88,Jean Cauê de Macedo,Masc,41,preto,Ensino Superior,Amazonas,8,Desenvolvimento de Produtos,Estagiário,33
89,Wanda de Malta,Fem,34,pardo,Ensino Superior,Paraíba,6,Desenvolvimento de Produtos,Gerente,28
90,Márcia de Barbosa Yazeze,Fem,39,pardo,Mestrado,São Paulo,3,Administrativo,Analista Júnior,36
92,Elói Joel Nugi Odrean,Masc,29,preto,Ensino Superior,Ceará,3,TI,Analista Sênior,26
93,Patrick de Machado Iloltri Cavalcante Terceiro,Masc,38,branco,Ensino Médio,Piauí,3,Operações,Analista Sênior,35
94,Melanie Evelyn Fifenman,Fem,37,pardo,Ensino Superior,Bahia,5,Contabilidade,Analista Júnior,32
95,Magali Zara Lopes,Fem,31,branco,Mestrado,Rondônia,2,Compras,Analista Pleno,29
96,Rafael dos Santos,Masc,32,pardo,Doutorado,Piauí,4,Marketing,Gerente,28
97,Kim de Moreira,Masc,27,pardo,Doutorado,Rio Grande do Sul,5,Vendas,Estagiário,22
98,Everaldo Denis Uzbenseã Júnior,Masc,30,pardo,Doutorado,São Paulo,5,Administrativo,Analista Sênior,25
99,Yuri Marco de Tavares Woibi,Masc,33,branco,Ensino Superior,Rio de Janeiro,14,Recursos Humanos,Gerente,19
100,Eliane Márcia da Graça Esery de Moreira,Fem,21,pardo,Ensino Médio,Rio Grande do Sul,6,Vendas,Estagiário,15
101,Tânia Ivone Gomes,Fem,32,pardo,Ensino Superior,Bahia,6,Compras,Analista Sênior,26
102,Elias de Azevedo Erna Enun,Masc,41,pardo,Ensino Superior,Tocantins,6,Operações,Gerente,35
103,Marlene Kátia Komo,Fem,18,branco,Ensino Superior,Rondônia,4,TI,Analista Pleno,14
104,João da Encarnação do Nascimento de Alvim,Masc,53,branco,Ensino Superior,Distrito Federal,7,TI,Analista Sênior,46
105,Roberval Valverde Irnpibissiman,Masc,28,branco,Ensino Superior,Bahia,12,TI,Gerente,16
107,Hércules de Castro Preto,Masc,34,pardo,Pós graduação,Pará,4,Vendas,Estagiário,30
108,Leandro de Souza,Masc,37,pardo,Mestrado,Rio Grande do Sul,6,Contabilidade,Analista Júnior,31
109,Roberto Fortes de Oliveira Mercado,Masc,32,pardo,Pós graduação,Acre,7,Contabilidade,Analista Sênior,25
110,Décio Aldo Tabeiov,Masc,34,pardo,Ensino Superior,Santa Catarina,7,Operações,Analista Júnior,27
111,Eric Moisés de Moura,Masc,26,pardo,Doutorado,Pernambuco,5,Operações,Analista Pleno,21
112,Fabrício Jânio Arnfa,Masc,30,branco,Ensino Superior,Paraíba,5,Marketing,Analista Pleno,25
113,Gigi Yeda de Pascoal Hetewa dos Santos,Fem,27,pardo,Ensino Superior,Mato Grosso do Sul,6,Contabilidade,Gerente,21
114,Dário Bernardo da Silva Valente Neto,Masc,32,pardo,Ensino Superior,Bahia,9,TI,Gerente,23
115,Heitor Oglo Etti,Masc,34,branco,Pós graduação,Paraná,6,Compras,Analista Pleno,28
116,Thaís da Silva,Fem,38,pardo,Ensino Superior,Mato Grosso,2,Contabilidade,Analista Júnior,36
117,Juliano Coarnzytas,Masc,21,pardo,Ensino Médio,Piauí,4,Vendas,Analista Júnior,17
118,Camilo Bruno de Magalhães,Masc,38,pardo,Mestrado,Amazonas,13,Operações,Analista Júnior,25
120,Rafael Gifusogi,Masc,20,branco,Ensino Superior,Rio Grande do Sul,5,Operações,Analista Júnior,15
121,Valquíria de Santo Antônio Rosa Dara Terceiro,Fem,37,pardo,Ensino Superior,Bahia,10,TI,Analista Pleno,27
122,Edinaldo Jason de Arruda,Masc,19,branco,Doutorado,Mato Grosso,5,Compras,Analista Pleno,14
123,Beto Matheus de Cerqueira,Masc,20,branco,Ensino Superior,Santa Catarina,6,Compras,Gerente,14
124,Edson Gilmar de Fraga,Masc,33,branco,Ensino Superior,Maranhão,3,TI,Gerente,30
125,Maurício Wagner de Pereira Terceiro,Masc,42,branco,Ensino Superior,Rondônia,8,Desenvolvimento de Produtos,Analista Júnior,34
126,Elias Aécio Thiel de Garcia Borowahe,Masc,24,branco,Ensino Superior,Santa Catarina,3,Marketing,Analista Pleno,21
127,Jeniffer de Figueiredo,Fem,36,branco,Ensino Superior,Tocantins,6,Compras,Estagiário,30
128,Mike Marlon de Souza,Masc,38,branco,Ensino Superior,Rio Grande do Norte,12,Compras,Analista Júnior,26
129,Eugênio Ushoso dos Santos de Alencar,Masc,30,branco,Ensino Superior,Mato Grosso,2,Operações,Estagiário,28
130,Vera Arilda de Oliveira,Fem,20,pardo,Pós graduação,Rio de Janeiro,6,Contabilidade,Analista Sênior,14
131,Eva Ploa,Fem,19,branco,Ensino Superior,Goiás,5,Administrativo,Analista Sênior,14
132,Paulo Jacinto Dafayson,Masc,28,indígena,Ensino Superior,Rio Grande do Sul,4,Administrativo,Analista Pleno,24
133,Samuel Josiel Mendes,Masc,36,branco,Pós graduação,Amapá,0,Marketing,Analista Júnior,36
134,Kevin da Paz Bekipe,Masc,49,branco,Mestrado,Rio Grande do Sul,2,Operações,Analista Sênior,47
135,Diego de Linhares Tristão Júnior,Masc,28,pardo,Mestrado,Rio Grande do Sul,3,TI,Analista Júnior,25
136,Alexandre Celso de Santana Edrynman Júnior,Masc,40,branco,Ensino Superior,Goiás,3,Administrativo,Analista Sênior,37
137,Maurício da Lira,Masc,22,pardo,Ensino Superior,Santa Catarina,6,Recursos Humanos,Estagiário,16
138,Cecília Lena Buarque de Chaves,Fem,30,pardo,Ensino Superior,Minas Gerais,5,Marketing,Analista Pleno,25
139,Ademar Ayrton de Silveira Bedio,Masc,22,pardo,Pós graduação,Minas Gerais,7,Administrativo,Analista Pleno,15
140,Sílvio de Machado,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5,Desenvolvimento de Produtos,Gerente,25
141,Kátia Memo,Fem,37,preto,Ensino Superior,Minas Gerais,4,Contabilidade,Analista Sênior,33
142,Valdirene Cibau,Fem,35,branco,Ensino Superior,Mato Grosso do Sul,1,Contabilidade,Analista Pleno,34
143,Rodolfo Ricardo de Gusmão,Masc,32,branco,Ensino Superior,Rio de Janeiro,8,Marketing,Analista Pleno,24
144,Tiago de Gonçalves,Masc,32,pardo,Ensino Médio,Minas Gerais,1,Operações,Analista Sênior,31
145,Tânia Liane Ukeuson de Linhares Jangada,Fem,30,pardo,Ensino Superior,Ceará,5,Contabilidade,Analista Sênior,25
146,Renato Leonardo Rosatto de Angola,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5,Operações,Gerente,25
147,Edu José de Brandão,Masc,26,pardo,Ensino Superior,Pernambuco,9,Desenvolvimento de Produtos,Analista Sênior,17
148,Ali Neta,Masc,39,pardo,Ensino Superior,Minas Gerais,6,Vendas,Analista Júnior,33
149,Reginaldo de Jesus,Masc,56,branco,Pós graduação,Amapá,6,Vendas,Analista Pleno,50
150,Natália Castelo Wazepo,Fem,22,branco,Mestrado,Roraima,5,Recursos Humanos,Analista Júnior,17
151,Jacinto do Prado Degirozo,Masc,31,branco,Mestrado,Minas Gerais,5,Desenvolvimento de Produtos,Estagiário,26
152,Eduardo Nicolau Tsuhiyohe de Viana da Silva,Masc,28,branco,Mestrado,Rio de Janeiro,7,Contabilidade,Gerente,21
153,Janaína Leila Yuma,Fem,35,pardo,Mestrado,Goiás,7,Marketing,Analista Júnior,28
154,Ezequiel Rosatto de Nogueira Júnior,Masc,40,branco,Ensino Superior,São Paulo,3,TI,Analista Sênior,37
155,Paulo Sérgio Chosepoião,Masc,41,branco,Ensino Superior,Mato Grosso do Sul,0,Administrativo,Estagiário,41
156,Micael Tlatromoz,Masc,35,branco,Pós graduação,Rio de Janeiro,11,Marketing,Analista Júnior,24
157,Jonathan Gomes Giyosu,Masc,32,preto,Pós graduação,Paraíba,10,TI,Gerente,22
158,Roberval Udroman Ymbaison Júnior,Masc,24,pardo,Ensino Superior,Minas Gerais,8,Recursos Humanos,Analista Júnior,16
159,Gustavo Vitor Pika,Masc,19,branco,Ensino Superior,Distrito Federal,5,Administrativo,Analista Sênior,14
160,Jackson Josiel Runeri Ueol Vavina,Masc,30,pardo,Ensino Superior,Rio Grande do Sul,5,TI,Analista Júnior,25
162,Hilda Chitsudebi,Fem,30,pardo,Ensino Superior,Paraíba,5,Desenvolvimento de Produtos,Gerente,25
163,Osvaldo da Silva,Masc,20,branco,Mestrado,Rio Grande do Sul,1,Compras,Analista Sênior,19
164,Caio da Paraíba,Masc,37,pardo,Pós graduação,Rio de Janeiro,2,TI,Gerente,35
165,Fabrício Jardel da Silva Tonfrigummoman Estrada,Masc,28,preto,Ensino Superior,Bahia,5,Operações,Analista Pleno,23
166,Diego de Moura Yeblaleman,Masc,41,pardo,Ensino Superior,Bahia,3,Compras,Analista Júnior,38
167,Patrick de Ramos Paim Neto,Masc,31,pardo,Ensino Superior,Espírito Santo,2,Vendas,Analista Júnior,29
168,Hélio Zawoyo Hikewa,Masc,27,pardo,Ensino Superior,Bahia,11,Contabilidade,Analista Sênior,16
169,Aloísio da Silva,Masc,36,branco,Ensino Superior,Rio Grande do Norte,3,Recursos Humanos,Analista Júnior,33
170,Nilo Fontes de Noronha,Masc,30,preto,Ensino Superior,Espírito Santo,7,Marketing,Analista Sênior,23
171,Túlio Dralganson de Palhares,Masc,27,branco,Doutorado,São Paulo,6,Marketing,Analista Sênior,21
172,Marlon Xibu,Masc,30,pardo,Ensino Superior,Paraná,9,Recursos Humanos,Analista Júnior,21
173,Luara Ximenes,Fem,19,branco,Ensino Médio,Rio de Janeiro,2,Contabilidade,Analista Sênior,17
175,Juan de Noronha,Masc,30,pardo,Pós graduação,Rio Grande do Norte,4,Compras,Analista Júnior,26
176,Alfredo Lopes de Godoy,Masc,21,branco,Ensino Superior,Rondônia,6,Contabilidade,Analista Sênior,15
177,Sara Schneider,Fem,24,branco,Ensino Superior,Santa Catarina,7,Administrativo,Analista Júnior,17
178,Cristiano Emseom,Masc,31,pardo,Ensino Superior,Pernambuco,9,Compras,Gerente,22
179,Janete de Teixeira das Neves,Fem,40,preto,Ensino Superior,Maranhão,9,TI,Gerente,31
180,Gilson de Viana,Masc,39,pardo,Ensino Superior,Rio de Janeiro,6,Administrativo,Gerente,33
181,André Jonathas Guerra,Masc,40,branco,Ensino Superior,São Paulo,5,Operações,Analista Júnior,35
182,Pablo Camilo da Silva de Miranda Chishirume,Masc,20,branco,Ensino Superior,Distrito Federal,2,Desenvolvimento de Produtos,Gerente,18
183,Amarildo Mineiro Júnior,Masc,47,pardo,Ensino Superior,Paraná,5,Contabilidade,Analista Pleno,42
184,João de Jesus Prates,Masc,30,pardo,Mestrado,Rondônia,5,Marketing,Gerente,25
185,Vinícius Max Kawayune Gifem,Masc,35,branco,Mestrado,Rio de Janeiro,8,Marketing,Analista Pleno,27
186,Hamilton Batista de Souza,Masc,18,preto,Mestrado,Rio de Janeiro,3,Desenvolvimento de Produtos,Analista Sênior,15
187,Nathan de Sobral Frenzzi,Masc,31,pardo,Mestrado,Piauí,0,Desenvolvimento de Produtos,Analista Júnior,31
188,Patrícia Gislaine de Holanda da Cruz,Fem,26,pardo,Ensino Superior,Amazonas,9,TI,Analista Sênior,17
189,Kevin Jeferson de Souza,Masc,30,pardo,Ensino Superior,Maranhão,1,TI,Analista Pleno,29
190,Danielle da Paraíba,Fem,30,pardo,Ensino Médio,Rio de Janeiro,5,Compras,Analista Sênior,25
191,Lina de Brito da Silva,Fem,40,branco,Doutorado,São Paulo,8,Compras,Analista Júnior,32
192,Augusto Gomes,Masc,32,pardo,Ensino Superior,Roraima,2,Compras,Analista Sênior,30
193,Jenny de Godoy,Fem,42,branco,Ensino Superior,Rio de Janeiro,7,Vendas,Analista Sênior,35
195,Yuri Mineiro do Nascimento,Masc,30,pardo,Pós graduação,Rio Grande do Sul,3,Vendas,Analista Pleno,27
196,Luke dos Santos,Masc,31,pardo,Ensino Superior,Santa Catarina,0,Contabilidade,Analista Pleno,31
197,Inácio Useov Portugal,Masc,27,pardo,Mestrado,São Paulo,6,Contabilidade,Analista Júnior,21
198,Alisson Hildebrando Penedo dos Pinhais,Masc,30,pardo,Ensino Superior,São Paulo,5,Marketing,Analista Sênior,25
199,Willian de Paula,Masc,31,pardo,Mestrado,Tocantins,4,Contabilidade,Gerente,27
200,Isac Isaías Mapponi Júnior,Masc,34,branco,Ensino Superior,Mato Grosso,2,TI,Analista Júnior,32
201,Charlene Juliana de Abreu Putekuza,Fem,39,branco,Ensino Superior,Amazonas,7,Desenvolvimento de Produtos,Analista Pleno,32
202,Anderson Bartolomeu da Silva Júnior,Masc,32,branco,Pós graduação,Bahia,5,Recursos Humanos,Analista Pleno,27
203,Micael Olavo Astanvya Branco,Masc,36,pardo,Doutorado,Piauí,7,Recursos Humanos,Diretor,29
205,Táles Estrada,Masc,44,branco,Mestrado,São Paulo,1,Recursos Humanos,Analista Sênior,43
206,Junior Marciano dos Santos,Masc,21,pardo,Ensino Superior,São Paulo,1,TI,Analista Júnior,20
207,Clotilde Mayra da Silva,Fem,39,pardo,Ensino Superior,Rio Grande do Norte,9,Contabilidade,Analista Sênior,30
208,Celina de Salvador,Fem,33,branco,Ensino Superior,Rio de Janeiro,7,Recursos Humanos,Analista Júnior,26
209,Kevin da Cruz de Fernandes,Masc,43,pardo,Ensino Superior,Minas Gerais,5,Marketing,Analista Pleno,38
210,Plínio da Silva Júnior,Masc,28,branco,Ensino Superior,Santa Catarina,5,TI,Analista Pleno,23
211,Felipe Zato Ynrrotrea,Masc,19,branco,Ensino Superior,Rio Grande do Sul,5,Compras,Analista Pleno,14
212,Paulo Azunssison,Masc,38,pardo,Ensino Superior,Goiás,5,Administrativo,Analista Júnior,33
213,Cauê Mateus Yuke de Freitas,Masc,28,branco,Ensino Superior,Acre,3,Operações,Analista Júnior,25
214,Patrick Borba,Masc,24,branco,Ensino Superior,Piauí,5,Marketing,Gerente,19
215,Cleuza de Barbosa Dawadone,Fem,26,preto,Ensino Superior,Alagoas,3,TI,Analista Pleno,23
216,Elisete Elisângela de Fonseca,Fem,30,pardo,Mestrado,Rio Grande do Norte,5,Compras,Analista Sênior,25
217,Domingos Everaldo Iniã,Masc,26,pardo,Ensino Superior,Amapá,0,Contabilidade,Estagiário,26
218,Chico Felipe de Leite,Masc,42,branco,Pós graduação,Goiás,10,Desenvolvimento de Produtos,Analista Pleno,32
219,José Prubi,Masc,29,branco,Doutorado,Ceará,3,Compras,Gerente,26
220,Verônica Ediane Yrnvisco,Fem,35,pardo,Mestrado,São Paulo,4,Desenvolvimento de Produtos,Analista Pleno,31
221,Luiz de Álvares,Masc,25,branco,Ensino Superior,Pernambuco,6,Marketing,Analista Júnior,19
222,Milton Ederson Uarndoym de Duarte Júnior,Masc,26,branco,Pós graduação,Paraná,6,Administrativo,Analista Pleno,20
223,Felipe de Alves Ymframan,Masc,33,branco,Ensino Superior,São Paulo,8,TI,Analista Júnior,25
224,Eduarda Grozirnbarnvo,Fem,24,branco,Ensino Superior,Maranhão,7,Recursos Humanos,Gerente,17
225,André Jairo de Noronha Aleam,Masc,32,pardo,Pós graduação,Rio Grande do Norte,7,Vendas,Analista Júnior,25
226,Edivaldo Raí Umizy,Masc,27,pardo,Ensino Médio,Paraná,8,Contabilidade,Analista Pleno,19
227,Rivaldo Werner Cein,Masc,27,branco,Doutorado,Minas Gerais,5,Contabilidade,Analista Pleno,22
228,Wendy de Ayres,Fem,23,branco,Doutorado,Mato Grosso,8,Compras,Analista Pleno,15
229,Filipe Augusto de Lacerda,Masc,35,pardo,Pós graduação,Bahia,4,Administrativo,Gerente,31
230,Isabela Alana Goru Nizreson,Fem,43,branco,Doutorado,Rio de Janeiro,9,Administrativo,Analista Sênior,34
231,Laerte Fabiano Seso Muri Pires,Masc,32,branco,Pós graduação,Minas Gerais,10,Contabilidade,Analista Pleno,22
232,Marielle Larissa Inoveu da Paraíba,Fem,23,preto,Ensino Superior,Maranhão,6,Vendas,Analista Pleno,17
233,Wagner dos Reis,Masc,18,preto,Ensino Médio,Minas Gerais,2,Desenvolvimento de Produtos,Analista Pleno,16
234,Leo Eilson,Masc,43,branco,Ensino Superior,Paraná,6,Recursos Humanos,Analista Sênior,37
235,Cristiano da Silva,Masc,20,branco,Ensino Superior,Sergipe,4,Vendas,Analista Júnior,16
236,Raí da Silva Monuzori,Masc,27,pardo,Ensino Superior,Espírito Santo,10,Contabilidade,Analista Sênior,17
237,Fernando Laerte da Silva,Masc,23,branco,Ensino Superior,São Paulo,2,Administrativo,Analista Júnior,21
238,Félix Zewegamman Asode de Sampaio,Masc,28,branco,Doutorado,Ceará,0,Compras,Analista Júnior,28
239,Filipe Kim Imcheilcla,Masc,45,pardo,Pós graduação,São Paulo,5,Administrativo,Analista Sênior,40
240,Melissa Uiarnppi de Ramos,Fem,37,branco,Ensino Médio,Mato Grosso,4,Marketing,Analista Júnior,33
241,Hugo de Paranhos,Masc,30,branco,Ensino Superior,Paraná,6,Desenvolvimento de Produtos,Analista Júnior,24
242,Humberto de Magalhães,Masc,30,pardo,Ensino Superior,Amapá,5,Recursos Humanos,Analista Pleno,25
243,Adônis Liloã Rangel,Masc,37,pardo,Doutorado,Rio de Janeiro,2,Recursos Humanos,Analista Sênior,35
244,José Renato de Barros Miepasu Poogitsu Júnior,Masc,33,branco,Ensino Superior,Roraima,5,TI,Gerente,28
245,Lili Pulyna de Menezes,Fem,42,indígena,Ensino Superior,Sergipe,4,Recursos Humanos,Analista Pleno,38
246,Quico Idoina Traoman Ulpu,Masc,41,branco,Pós graduação,Alagoas,7,Contabilidade,Analista Pleno,34
247,Décio Xerxes Pepriomevic,Masc,20,pardo,Pós graduação,Paraná,6,Operações,Analista Júnior,14
